Voyager 2 48-sec averaged magnetic field data tab-delimited ascii files. 

The columns are:
1. SC   ID (Voyager 2)
2  year (2011)
3. DOY (Jan 1 = 1)
4. F1 (the magnetic field strength, the average of higher resolution field strengths, in nT)
5, 6, 7 BR, BT, BN (the magnetic field components in RTN coordinates, in nT)

The one sigma uncertainty is dBR ~= 0.03 nT and dBT ~= 0.03 nT. The uncertainty in dBN is larger, since we could not obtain this from a magrol; it could be between 0.02 nT and 0.1 nT. 

 SC	Yr		DOY	  F1		   Br		   Bt		   Bn
FLT2	14	301.0401	0.12746	-0.08154	-0.08732	0.04431	
FLT2	14	301.04065	0.11978	-0.08054	-0.08059	0.03677	
FLT2	14	301.0412	0.12566	-0.08102	-0.08689	0.04076	
FLT2	14	301.04175	0.12588	-0.08494	-0.08507	0.03723	
FLT2	14	301.04233	0.12325	-0.08269	-0.0835	0.03693	
FLT2	14	301.04288	0.12611	-0.08064	-0.09164	0.03117	
FLT2	14	301.04343	0.12432	-0.07604	-0.09044	0.03838	
FLT2	14	301.04398	0.13214	-0.08837	-0.09204	0.03407	
FLT2	14	301.04453	0.12686	-0.07902	-0.08988	0.04169	
FLT2	14	301.0451	0.12536	-0.08274	-0.08596	0.03833	
FLT2	14	301.04565	0.12622	-0.0824	-0.08595	0.04174	
FLT2	14	301.0462	0.12501	-0.08087	-0.0888	0.03392	
FLT2	14	301.04675	0.1231	-0.08389	-0.0841	0.03174	
FLT2	14	301.0473	0.12993	-0.08612	-0.09069	0.03516	
FLT2	14	301.04788	0.12569	-0.08851	-0.08315	0.03217	
FLT2	14	301.04843	0.12849	-0.08847	-0.08686	0.03343	
FLT2	14	301.04898	0.12092	-0.08235	-0.08282	0.03115	
FLT2	14	301.04953	0.12529	-0.08348	-0.08962	0.02626	
FLT2	14	301.05008	0.12356	-0.08693	-0.08355	0.02665	
FLT2	14	301.05066	0.13055	-0.0926	-0.0873	0.02853	
FLT2	14	301.05121	0.12187	-0.08512	-0.08173	0.03001	
FLT2	14	301.05176	0.11933	-0.08022	-0.08475	0.02481	
FLT2	14	301.05231	0.12289	-0.08136	-0.08742	0.02867	
FLT2	14	301.05286	0.1274	-0.08636	-0.08527	0.03838	
FLT2	14	301.05344	0.12717	-0.08406	-0.08621	0.04059	
FLT2	14	301.05399	0.12905	-0.08255	-0.09081	0.03931	
FLT2	14	301.05453	0.12915	-0.08267	-0.08771	0.04608	
FLT2	14	301.05508	0.12058	-0.07999	-0.07727	0.04627	
FLT2	14	301.05563	0.12385	-0.08501	-0.07595	0.04822	
FLT2	14	301.05621	0.12382	-0.08159	-0.0814	0.04474	
FLT2	14	301.05676	0.11692	-0.07344	-0.08077	0.04171	
FLT2	14	301.05731	0.11691	-0.07375	-0.083	0.03649	
FLT2	14	301.05786	0.11182	-0.0728	-0.07684	0.03584	
FLT2	14	301.05841	0.11402	-0.07752	-0.07567	0.0352	
FLT2	14	301.05899	0.11382	-0.08042	-0.07315	0.03324	
FLT2	14	301.05954	0.11363	-0.07762	-0.07336	0.03869	
FLT2	14	301.06009	0.10878	-0.0717	-0.07369	0.03534	
FLT2	14	301.06064	0.11336	-0.07339	-0.0803	0.03124	
FLT2	14	301.06119	0.11551	-0.0695	-0.08386	0.03741	
FLT2	14	301.06177	0.11767	-0.07506	-0.08106	0.0404	
FLT2	14	301.06232	0.11275	-0.07398	-0.07648	0.03706	
FLT2	14	301.06287	0.12162	-0.07717	-0.08585	0.03815	
FLT2	14	301.06342	0.12316	-0.08082	-0.08683	0.03285	
FLT2	14	301.89899	0.09741	-0.06691	-0.06862	0.01676	
FLT2	14	301.89954	0.08889	-0.06086	-0.06379	0.01033	
