# The average magnetic field strength produced by the spacecraft at the
# location of the outboard magnetometer of the dual magnetometers system 
# on V1 and V2 is about 0.1 - 0.2 nT, comparable to the most probable magnetic 
# field strength in the inner heliosheath and significantly larger than the most 
# probable magnetic field strength in the distant supersonic solar wind. 
# The spacecraft magnetic field is a complex, time-dependent signal that must
# be removed from the measured magnetic field signal in order to derive the 
# ambient magnetic fields of the solar wind and heliosheath. Corrections must 
# also be made for spurious magnetic signals and noise associated with the 
# telemetry system, ground tracking systems, and other factors. Extracting the 
# signal describing the solar wind and heliosheath from the many sources of 
# uncertainty is a complex and partly subjective process that requires 
# understanding of the instrument and judgment based on experience in dealing 
# with the ever-changing extraneous signals.  For the V2 MAG data the 1-sigma 
# uncertainty in the 48 sec averages for each of the components of the magnetic 
# field  BR, BT, and BN is typically +/- 0.03 nT; the uncertainty in magnitude f1 is 
# typically +/- 0.04 nT. F1, BR, BT, and BN can differ from one another and they 
# may vary with time, but there is no practical way to determine these uncertainties 
# more precisely at present.
#
# References 
#
# Daniel B. Berdichevsky, Voyager Mission, Detailed processing of weak magnetic 
# fields; I - Constraints to the uncertainties of the calibrated magnetic field signal 
# in the Voyager missions , 2009; 
# http://vgrmag.gsfc.nasa.gov/Berdichevsky-VOY_sensor_opu090518.pdf
#
# Behannon, K.W., M.H. Acuña, L.F. Burlaga, R.P. Lepping, N.F. Ness, and 
# F.M. Neubauer, Magnetic-Field Experiment for Voyager-1 and Voyager-2, 
# Space Science Reviews, 21 (3), 235-257, 1977. 
#
# Burlaga, L.F., Merged interaction regions and large-scale magnetic field 
# fluctuations during 1991 - Voyager-2 observations, J. Geophys. Res., 99 (A10), 
# 19341-19350, 1994. 
#
# Burlaga, L.F., N.F. Ness, Y.-M. Wang, and N.R. Sheeley Jr., Heliospheric magnetic 
# field strength and polarity from 1 to 81 AU during the ascending phase of solar 
# cycle 23, J. Geophys. Res., 107 (A11), 1410, 2002. 
#
# Ness, N., K.W. Behannon, R. Lepping, and K.H. Schatten, J. Geophys. Res., , 
# 76, 3564, 1971.
#
# SC	year	DOY	F1	BR	BT	BN	dF1	dBR	dBT	dBN
2	2007	245.0414	0.05	0.01	-0.04	-0.02	0.04	0.03	0.03	0.03
2	2007	245.0419	0.06	0	-0.06	-0.02	0.04	0.03	0.03	0.03
2	2007	245.0425	0.05	-0.02	-0.04	-0.02	0.04	0.03	0.03	0.03
2	2007	245.043	0.04	-0.03	-0.01	-0.02	0.04	0.03	0.03	0.03
2	2007	245.0436	0.03	-0.01	-0.02	-0.02	0.04	0.03	0.03	0.03
2	2007	245.0442	0.04	0	-0.03	-0.02	0.04	0.03	0.03	0.03
2	2007	245.0447	0.04	0	-0.04	-0.02	0.04	0.03	0.03	0.03
2	2007	245.0453	0.05	-0.01	-0.04	-0.03	0.04	0.03	0.03	0.03
2	2007	245.0458	0.06	-0.02	-0.04	-0.03	0.04	0.03	0.03	0.03
2	2007	245.0464	0.05	-0.03	-0.03	-0.03	0.04	0.03	0.03	0.03
2	2007	245.0469	0.03	-0.02	-0.02	-0.02	0.04	0.03	0.03	0.03
2	2007	245.0475	0.03	-0.02	-0.02	-0.01	0.04	0.03	0.03	0.03
2	2007	245.048	0.03	-0.02	-0.02	-0.01	0.04	0.03	0.03	0.03
2	2007	245.0486	0.03	-0.03	-0.01	-0.01	0.04	0.03	0.03	0.03
2	2007	245.0491	0.03	-0.02	-0.02	-0.01	0.04	0.03	0.03	0.03
2	2007	245.0497	0.04	-0.02	-0.02	-0.02	0.04	0.03	0.03	0.03
2	2007	245.0503	0.05	-0.02	-0.03	-0.03	0.04	0.03	0.03	0.03
2	2007	245.0508	0.05	-0.01	-0.03	-0.04	0.04	0.03	0.03	0.03
2	2007	245.0514	0.06	0	-0.03	-0.04	0.04	0.03	0.03	0.03
2	2007	245.0519	0.06	0	-0.03	-0.05	0.04	0.03	0.03	0.03
2	2007	245.0525	0.05	0	-0.03	-0.04	0.04	0.03	0.03	0.03
2	2007	245.053	0.05	0	-0.04	-0.04	0.04	0.03	0.03	0.03
2	2007	245.0536	0.05	-0.01	-0.04	-0.03	0.04	0.03	0.03	0.03
2	2007	245.0542	0.06	-0.03	-0.03	-0.04	0.04	0.03	0.03	0.03
2	2007	245.0547	0.06	-0.02	-0.03	-0.05	0.04	0.03	0.03	0.03
2	2007	245.0553	0.06	-0.02	-0.04	-0.05	0.04	0.03	0.03	0.03
2	2007	245.0558	0.07	-0.02	-0.04	-0.05	0.04	0.03	0.03	0.03
2	2007	245.0564	0.07	-0.01	-0.05	-0.05	0.04	0.03	0.03	0.03
2	2007	245.0569	0.07	-0.01	-0.05	-0.05	0.04	0.03	0.03	0.03
2	2007	245.0575	0.07	0	-0.06	-0.05	0.04	0.03	0.03	0.03
2	2007	245.058	0.06	0	-0.05	-0.04	0.04	0.03	0.03	0.03
2	2007	245.0586	0.07	0	-0.05	-0.05	0.04	0.03	0.03	0.03
2	2007	245.0592	0.08	0	-0.05	-0.06	0.04	0.03	0.03	0.03
2	2007	245.0597	0.08	0	-0.05	-0.06	0.04	0.03	0.03	0.03
2	2007	245.0603	0.07	-0.01	-0.04	-0.06	0.04	0.03	0.03	0.03
2	2007	245.0608	0.08	-0.02	-0.05	-0.05	0.04	0.03	0.03	0.03
2	2007	245.0614	0.08	-0.03	-0.05	-0.05	0.04	0.03	0.03	0.03
2	2007	245.0619	0.08	-0.03	-0.05	-0.05	0.04	0.03	0.03	0.03
2	2007	245.0625	0.07	-0.03	-0.05	-0.03	0.04	0.03	0.03	0.03
2	2007	245.063	0.07	-0.03	-0.06	-0.04	0.04	0.03	0.03	0.03
2	2007	245.0636	0.08	-0.02	-0.06	-0.04	0.04	0.03	0.03	0.03
2	2007	245.0641	0.08	-0.02	-0.07	-0.03	0.04	0.03	0.03	0.03
2	2007	245.0647	0.07	-0.02	-0.07	-0.03	0.04	0.03	0.03	0.03
2	2007	245.0653	0.08	-0.01	-0.07	-0.03	0.04	0.03	0.03	0.03
2	2007	245.0658	0.07	-0.02	-0.07	-0.02	0.04	0.03	0.03	0.03
2	2007	245.0664	0.08	-0.02	-0.07	-0.02	0.04	0.03	0.03	0.03
2	2007	245.0669	0.07	-0.02	-0.06	-0.02	0.04	0.03	0.03	0.03
2	2007	245.0675	0.07	-0.03	-0.06	-0.03	0.04	0.03	0.03	0.03
2	2007	245.068	0.07	-0.02	-0.05	-0.04	0.04	0.03	0.03	0.03
2	2007	245.0686	0.07	-0.02	-0.05	-0.03	0.04	0.03	0.03	0.03
2	2007	245.0692	0.06	-0.02	-0.05	-0.03	0.04	0.03	0.03	0.03
2	2007	245.0697	0.06	0	-0.05	-0.03	0.04	0.03	0.03	0.03
2	2007	245.0703	0.04	-0.01	-0.04	-0.03	0.04	0.03	0.03	0.03
2	2007	245.0708	0.05	-0.01	-0.04	-0.02	0.04	0.03	0.03	0.03
2	2007	245.0714	0.04	0	-0.04	-0.02	0.04	0.03	0.03	0.03
2	2007	245.0719	0.05	-0.01	-0.04	-0.03	0.04	0.03	0.03	0.03
2	2007	245.0725	0.04	0	-0.03	-0.02	0.04	0.03	0.03	0.03
2	2007	245.073	0.04	0	-0.03	-0.02	0.04	0.03	0.03	0.03
2	2007	245.0736	0.03	-0.01	-0.03	-0.01	0.04	0.03	0.03	0.03
2	2007	245.0742	0.04	-0.01	-0.04	-0.01	0.04	0.03	0.03	0.03
2	2007	245.0747	0.04	-0.01	-0.04	-0.01	0.04	0.03	0.03	0.03
2	2007	245.0753	0.05	-0.02	-0.04	-0.01	0.04	0.03	0.03	0.03
2	2007	245.0758	0.06	-0.02	-0.05	-0.02	0.04	0.03	0.03	0.03
2	2007	245.0764	0.06	-0.02	-0.05	-0.02	0.04	0.03	0.03	0.03
2	2007	245.0769	0.06	-0.02	-0.05	-0.02	0.04	0.03	0.03	0.03
2	2007	245.0775	0.06	-0.02	-0.05	-0.03	0.04	0.03	0.03	0.03
2	2007	245.078	0.06	-0.02	-0.05	-0.02	0.04	0.03	0.03	0.03
2	2007	245.0786	0.06	-0.02	-0.05	-0.04	0.04	0.03	0.03	0.03
2	2007	245.0791	0.07	-0.03	-0.05	-0.04	0.04	0.03	0.03	0.03
2	2007	245.0797	0.07	-0.02	-0.05	-0.05	0.04	0.03	0.03	0.03
2	2007	245.0803	0.08	-0.03	-0.06	-0.04	0.04	0.03	0.03	0.03
2	2007	245.0808	0.09	-0.03	-0.07	-0.05	0.04	0.03	0.03	0.03
2	2007	245.0814	0.09	-0.03	-0.08	-0.03	0.04	0.03	0.03	0.03
2	2007	245.0819	0.1	-0.03	-0.09	-0.03	0.04	0.03	0.03	0.03
2	2007	245.0825	0.1	-0.03	-0.09	-0.03	0.04	0.03	0.03	0.03
2	2007	245.083	0.09	-0.02	-0.09	-0.03	0.04	0.03	0.03	0.03
